,type,value,start,end,name,createdAt,instanceId,id
240,Measurement,13,,,agent.ping.roundtriptime,2022-01-23T20:59:38,pop-os,32702
241,Counter,15927,,,agent.ping.count,2022-01-23T20:59:38,pop-os,32698
242,Measurement,13,,,agent.ping.roundtriptime,2022-01-23T20:59:36,pop-os,32701
243,Counter,15926,,,agent.ping.count,2022-01-23T20:59:36,pop-os,32697
244,Measurement,16,,,agent.ping.roundtriptime,2022-01-23T20:59:34,pop-os,32700
245,Counter,15925,,,agent.ping.count,2022-01-23T20:59:34,pop-os,32696
246,Measurement,24,,,agent.ping.roundtriptime,2022-01-23T20:59:31,pop-os,32695
247,Counter,15924,,,agent.ping.count,2022-01-23T20:59:31,pop-os,32690
248,Measurement,13,,,agent.ping.roundtriptime,2022-01-23T20:59:29,pop-os,32694
249,Counter,15923,,,agent.ping.count,2022-01-23T20:59:29,pop-os,32689
250,Measurement,17,,,agent.ping.roundtriptime,2022-01-23T20:59:27,pop-os,32693
251,Counter,15922,,,agent.ping.count,2022-01-23T20:59:27,pop-os,32688
252,Measurement,13,,,agent.ping.roundtriptime,2022-01-23T20:59:25,pop-os,32692
253,Counter,15921,,,agent.ping.count,2022-01-23T20:59:25,pop-os,32687
254,Measurement,19,,,agent.ping.roundtriptime,2022-01-23T20:59:23,pop-os,32691
255,Counter,15920,,,agent.ping.count,2022-01-23T20:59:23,pop-os,32686
256,Measurement,16,,,agent.ping.roundtriptime,2022-01-23T20:59:21,pop-os,32685
257,Measurement,0,2022-01-23T20:43:39,2022-01-23T20:59:21,agent.ping.average.failure,2022-01-23T20:59:21,pop-os,32684
258,Counter,15919,,,agent.ping.count,2022-01-23T20:59:21,pop-os,32680
259,Measurement,25,,,agent.ping.roundtriptime,2022-01-23T20:59:19,pop-os,32683
260,Counter,15918,,,agent.ping.count,2022-01-23T20:59:19,pop-os,32679
261,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T20:59:17,pop-os,32682
262,Counter,15917,,,agent.ping.count,2022-01-23T20:59:17,pop-os,32678
263,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T20:59:15,pop-os,32681
264,Counter,15916,,,agent.ping.count,2022-01-23T20:59:15,pop-os,32677
265,Counter,15915,,,agent.ping.count,2022-01-23T20:59:13,pop-os,32676
266,Measurement,12,,,agent.ping.roundtriptime,2022-01-23T20:59:13,pop-os,32675
267,Measurement,27,,,agent.ping.roundtriptime,2022-01-23T20:59:11,pop-os,32674
268,Counter,15914,,,agent.ping.count,2022-01-23T20:59:11,pop-os,32670
269,Measurement,13,,,agent.ping.roundtriptime,2022-01-23T20:59:09,pop-os,32673
270,Counter,15913,,,agent.ping.count,2022-01-23T20:59:09,pop-os,32669
271,Measurement,12,,,agent.ping.roundtriptime,2022-01-23T20:59:07,pop-os,32672
272,Counter,15912,,,agent.ping.count,2022-01-23T20:59:07,pop-os,32668
273,Measurement,15,,,agent.ping.roundtriptime,2022-01-23T20:59:05,pop-os,32671
274,Counter,15911,,,agent.ping.count,2022-01-23T20:59:05,pop-os,32667
275,Counter,15910,,,agent.ping.count,2022-01-23T20:59:03,pop-os,32666
