type,value,start,end,name,createdAt,instanceId
Counter,15897,,,agent.ping.count,2022-01-23T20:58:36,pop-os
Counter,15896,,,agent.ping.count,2022-01-23T20:58:34,pop-os
Measurement,46,,,agent.ping.roundtriptime,2022-01-23T20:58:34,pop-os
Measurement,11,,,agent.ping.roundtriptime,2022-01-23T20:58:32,pop-os
Counter,15895,,,agent.ping.count,2022-01-23T20:58:32,pop-os
Measurement,18,,,agent.ping.roundtriptime,2022-01-23T20:58:30,pop-os
Counter,15894,,,agent.ping.count,2022-01-23T20:58:30,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T20:58:28,pop-os
Counter,15893,,,agent.ping.count,2022-01-23T20:58:28,pop-os
Measurement,16,,,agent.ping.roundtriptime,2022-01-23T20:58:26,pop-os
Counter,15892,,,agent.ping.count,2022-01-23T20:58:26,pop-os
Counter,15891,,,agent.ping.count,2022-01-23T20:58:24,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T20:58:24,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T20:58:22,pop-os
Counter,15890,,,agent.ping.count,2022-01-23T20:58:22,pop-os
Measurement,17,,,agent.ping.roundtriptime,2022-01-23T20:58:20,pop-os
Measurement,0,2022-01-23T20:43:39,2022-01-23T20:58:20,agent.ping.average.failure,2022-01-23T20:58:20,pop-os
Counter,15889,,,agent.ping.count,2022-01-23T20:58:20,pop-os
Measurement,33,,,agent.ping.roundtriptime,2022-01-23T20:58:18,pop-os
Counter,15888,,,agent.ping.count,2022-01-23T20:58:18,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T20:58:16,pop-os
Counter,15887,,,agent.ping.count,2022-01-23T20:58:16,pop-os
Measurement,18,,,agent.ping.roundtriptime,2022-01-23T20:58:14,pop-os
Counter,15886,,,agent.ping.count,2022-01-23T20:58:14,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T20:58:12,pop-os
Counter,15885,,,agent.ping.count,2022-01-23T20:58:12,pop-os
Measurement,16,,,agent.ping.roundtriptime,2022-01-23T20:58:10,pop-os
Counter,15884,,,agent.ping.count,2022-01-23T20:58:10,pop-os
Measurement,20,,,agent.ping.roundtriptime,2022-01-23T20:58:08,pop-os
Counter,15883,,,agent.ping.count,2022-01-23T20:58:08,pop-os
Measurement,17,,,agent.ping.roundtriptime,2022-01-23T20:58:06,pop-os
Counter,15882,,,agent.ping.count,2022-01-23T20:58:06,pop-os
Measurement,12,,,agent.ping.roundtriptime,2022-01-23T20:58:03,pop-os
Counter,15881,,,agent.ping.count,2022-01-23T20:58:03,pop-os
Measurement,18,,,agent.ping.roundtriptime,2022-01-23T20:58:01,pop-os
Counter,15880,,,agent.ping.count,2022-01-23T20:58:01,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T20:57:59,pop-os
Measurement,0,2022-01-23T20:43:39,2022-01-23T20:57:59,agent.ping.average.failure,2022-01-23T20:57:59,pop-os
Counter,15879,,,agent.ping.count,2022-01-23T20:57:59,pop-os
Measurement,18,,,agent.ping.roundtriptime,2022-01-23T20:57:57,pop-os
Counter,15878,,,agent.ping.count,2022-01-23T20:57:57,pop-os
Counter,15877,,,agent.ping.count,2022-01-23T20:57:55,pop-os
Measurement,27,,,agent.ping.roundtriptime,2022-01-23T20:57:55,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T20:57:53,pop-os
Counter,15876,,,agent.ping.count,2022-01-23T20:57:53,pop-os
Measurement,24,,,agent.ping.roundtriptime,2022-01-23T20:57:51,pop-os
Counter,15875,,,agent.ping.count,2022-01-23T20:57:51,pop-os
Measurement,68,,,agent.ping.roundtriptime,2022-01-23T20:57:49,pop-os
Counter,15874,,,agent.ping.count,2022-01-23T20:57:49,pop-os
Measurement,42,,,agent.ping.roundtriptime,2022-01-23T20:57:47,pop-os
Counter,15873,,,agent.ping.count,2022-01-23T20:57:47,pop-os
Counter,15872,,,agent.ping.count,2022-01-23T20:57:45,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T20:57:45,pop-os
Measurement,66,,,agent.ping.roundtriptime,2022-01-23T20:57:43,pop-os
Counter,15871,,,agent.ping.count,2022-01-23T20:57:43,pop-os
Measurement,11,,,agent.ping.roundtriptime,2022-01-23T20:57:41,pop-os
